win,lose,probability
Cleveland Cavaliers,New York Knicks,0.912341667273
Golden State Warriors,San Antonio Spurs,0.641069024388
Portland Trail Blazers,Utah Jazz,0.732098674061
Boston Celtics,Brooklyn Nets,0.881247645403
Indiana Pacers,Dallas Mavericks,0.61555609552
Houston Rockets,Los Angeles Lakers,0.818407526526
Memphis Grizzlies,Minnesota Timberwolves,0.561251762073
Charlotte Hornets,Milwaukee Bucks,0.760784838614
Denver Nuggets,New Orleans Pelicans,0.54394059789
Miami Heat,Orlando Magic,0.662771792143
Oklahoma City Thunder,Philadelphia 76ers,0.959360223688
Sacramento Kings,Phoenix Suns,0.641717428603
Toronto Raptors,Detroit Pistons,0.730870936215
Atlanta Hawks,Washington Wizards,0.652050066149
Boston Celtics,Chicago Bulls,0.568048490788
Portland Trail Blazers,Los Angeles Clippers,0.585354029166
San Antonio Spurs,Sacramento Kings,0.876717725572
Indiana Pacers,Brooklyn Nets,0.845137717159
Dallas Mavericks,Houston Rockets,0.532770890583
Detroit Pistons,Orlando Magic,0.655577606709
Miami Heat,Charlotte Hornets,0.549700016292
Golden State Warriors,New Orleans Pelicans,0.921552801757
Oklahoma City Thunder,Phoenix Suns,0.926769422235
Cleveland Cavaliers,Toronto Raptors,0.535049038098
Utah Jazz,Los Angeles Lakers,0.864590662887
Indiana Pacers,Chicago Bulls,0.534018497801
Charlotte Hornets,Boston Celtics,0.544110961401
Cleveland Cavaliers,Orlando Magic,0.879074316082
Portland Trail Blazers,Denver Nuggets,0.676484730534
Milwaukee Bucks,Brooklyn Nets,0.657917220975
Memphis Grizzlies,New York Knicks,0.532475228419
Atlanta Hawks,Philadelphia 76ers,0.922131824505
Sacramento Kings,Minnesota Timberwolves,0.518083833166
San Antonio Spurs,New Orleans Pelicans,0.92989281787
Detroit Pistons,Milwaukee Bucks,0.699325736033
Houston Rockets,Dallas Mavericks,0.564883044504
Los Angeles Clippers,Utah Jazz,0.714808002469
Washington Wizards,Memphis Grizzlies,0.562434766384
San Antonio Spurs,Miami Heat,0.704634144871
Oklahoma City Thunder,Los Angeles Lakers,0.950055904252
Golden State Warriors,Phoenix Suns,0.946453052331
Atlanta Hawks,Sacramento Kings,0.753821042515
Chicago Bulls,Brooklyn Nets,0.765395820866
Los Angeles Clippers,Phoenix Suns,0.887030176495
Toronto Raptors,Denver Nuggets,0.831065502553
Cleveland Cavaliers,Houston Rockets,0.815907838969
Detroit Pistons,New York Knicks,0.731554245414
Indiana Pacers,Los Angeles Lakers,0.878085097416
Miami Heat,Sacramento Kings,0.761033084245
Memphis Grizzlies,Minnesota Timberwolves,0.578623320609
Milwaukee Bucks,New Orleans Pelicans,0.512991630077
Orlando Magic,Philadelphia 76ers,0.827093528782
Golden State Warriors,Portland Trail Blazers,0.691873100196
San Antonio Spurs,Utah Jazz,0.864656385541
Atlanta Hawks,Los Angeles Lakers,0.899653357096
Boston Celtics,Chicago Bulls,0.703990001092
Detroit Pistons,Brooklyn Nets,0.816491768036
Charlotte Hornets,Philadelphia 76ers,0.929289853141
Oklahoma City Thunder,Los Angeles Clippers,0.569662327539
Memphis Grizzlies,New Orleans Pelicans,0.621369196321
Houston Rockets,New York Knicks,0.635436882703
Portland Trail Blazers,Phoenix Suns,0.775612853936
Utah Jazz,Dallas Mavericks,0.586681067999
Toronto Raptors,Washington Wizards,0.665912216063
Cleveland Cavaliers,Boston Celtics,0.754716784952
Golden State Warriors,Oklahoma City Thunder,0.717754169011
Indiana Pacers,Milwaukee Bucks,0.730738202885
Denver Nuggets,Minnesota Timberwolves,0.542800674723
Orlando Magic,Sacramento Kings,0.553529575793
Charlotte Hornets,Brooklyn Nets,0.864780860637
Chicago Bulls,New York Knicks,0.720057207055
Dallas Mavericks,Portland Trail Blazers,0.511689676983
Golden State Warriors,Los Angeles Lakers,0.961653165755
Los Angeles Clippers,Memphis Grizzlies,0.710058816758
New Orleans Pelicans,Phoenix Suns,0.62068578216
Toronto Raptors,Miami Heat,0.669185574792
San Antonio Spurs,Utah Jazz,0.776978494165
Atlanta Hawks,Washington Wizards,0.590343556548
Atlanta Hawks,Houston Rockets,0.633241030309
Detroit Pistons,Denver Nuggets,0.672574068889
Indiana Pacers,Chicago Bulls,0.648928042249
Sacramento Kings,Milwaukee Bucks,0.549362229461
Oklahoma City Thunder,Minnesota Timberwolves,0.86733447179
Washington Wizards,Orlando Magic,0.568587739486
Cleveland Cavaliers,Philadelphia 76ers,0.961675529826
San Antonio Spurs,Los Angeles Clippers,0.767457578244
Boston Celtics,Denver Nuggets,0.759558168803
Dallas Mavericks,Milwaukee Bucks,0.695623121047
Phoenix Suns,Los Angeles Lakers,0.566083022471
Portland Trail Blazers,Memphis Grizzlies,0.602877773366
Utah Jazz,New York Knicks,0.612495023521
Toronto Raptors,Sacramento Kings,0.831334772374
Chicago Bulls,Orlando Magic,0.642417150465
Charlotte Hornets,Indiana Pacers,0.577986368102
Golden State Warriors,New Orleans Pelicans,0.94599713162
Los Angeles Clippers,Detroit Pistons,0.689531411793
Oklahoma City Thunder,Miami Heat,0.727251255809
Utah Jazz,Philadelphia 76ers,0.876770239363
Washington Wizards,Houston Rockets,0.511570363938
Minnesota Timberwolves,Brooklyn Nets,0.708978230107
Cleveland Cavaliers,Atlanta Hawks,0.745961730857
Dallas Mavericks,Los Angeles Lakers,0.796093448434
Memphis Grizzlies,Denver Nuggets,0.559236743233
Portland Trail Blazers,Phoenix Suns,0.895407165055
Sacramento Kings,New Orleans Pelicans,0.579686579463
Atlanta Hawks,Chicago Bulls,0.697049986678
Charlotte Hornets,Utah Jazz,0.65467220421
Golden State Warriors,Dallas Mavericks,0.898294201655
Indiana Pacers,Philadelphia 76ers,0.913818746422
Los Angeles Clippers,Portland Trail Blazers,0.676240076158
New York Knicks,Brooklyn Nets,0.70463279807
Oklahoma City Thunder,Toronto Raptors,0.636993818003
Orlando Magic,Minnesota Timberwolves,0.555076032993
Detroit Pistons,Phoenix Suns,0.764749418598
San Antonio Spurs,Houston Rockets,0.852797685079
Boston Celtics,Washington Wizards,0.578994271269
Golden State Warriors,Denver Nuggets,0.914475323022
Miami Heat,Chicago Bulls,0.705274935252
Milwaukee Bucks,New Orleans Pelicans,0.514317459686
Sacramento Kings,Los Angeles Lakers,0.757751215148
Boston Celtics,New York Knicks,0.807357564661
Toronto Raptors,Charlotte Hornets,0.548399023259
Oklahoma City Thunder,Los Angeles Clippers,0.676050471254
Utah Jazz,Orlando Magic,0.56468718517
Indiana Pacers,Philadelphia 76ers,0.907821618989
Portland Trail Blazers,Sacramento Kings,0.814639882795
San Antonio Spurs,Detroit Pistons,0.849871494159
Cleveland Cavaliers,Washington Wizards,0.753302402048
Atlanta Hawks,Philadelphia 76ers,0.929572320272
Chicago Bulls,Washington Wizards,0.543132255857
Detroit Pistons,Denver Nuggets,0.662907911202
San Antonio Spurs,Houston Rockets,0.792062448296
Boston Celtics,Indiana Pacers,0.509435952518
Miami Heat,Utah Jazz,0.664453121587
Memphis Grizzlies,Milwaukee Bucks,0.585529594492
Los Angeles Clippers,Minnesota Timberwolves,0.786735249463
New Orleans Pelicans,Los Angeles Lakers,0.710946385748
Phoenix Suns,Brooklyn Nets,0.56691968755
Toronto Raptors,New York Knicks,0.867135990562
Cleveland Cavaliers,Charlotte Hornets,0.750807181135
Golden State Warriors,Phoenix Suns,0.963546404567
Minnesota Timberwolves,Los Angeles Lakers,0.711889598311
Oklahoma City Thunder,Orlando Magic,0.857320655457
Portland Trail Blazers,Denver Nuggets,0.814349912027
Oklahoma City Thunder,Detroit Pistons,0.721658743124
Houston Rockets,Philadelphia 76ers,0.895804683678
Indiana Pacers,Orlando Magic,0.694664099964
Los Angeles Clippers,Brooklyn Nets,0.904315411012
Boston Celtics,New Orleans Pelicans,0.752535994264
Dallas Mavericks,New York Knicks,0.601584708119
San Antonio Spurs,Miami Heat,0.808307733192
Utah Jazz,Memphis Grizzlies,0.652999518052
Cleveland Cavaliers,Toronto Raptors,0.679793093879
Brooklyn Nets,Los Angeles Lakers,0.520120340064
Miami Heat,Atlanta Hawks,0.543322643467
Charlotte Hornets,Minnesota Timberwolves,0.755579806873
Portland Trail Blazers,Chicago Bulls,0.767569663954
Atlanta Hawks,Milwaukee Bucks,0.775810368513
Boston Celtics,Dallas Mavericks,0.673216365247
Denver Nuggets,Phoenix Suns,0.642572892585
Cleveland Cavaliers,Indiana Pacers,0.697496702169
Los Angeles Clippers,Memphis Grizzlies,0.776707183143
Detroit Pistons,New York Knicks,0.640776037034
Oklahoma City Thunder,Houston Rockets,0.785562866263
Orlando Magic,New Orleans Pelicans,0.615459895798
Washington Wizards,Philadelphia 76ers,0.878476215687
San Antonio Spurs,Sacramento Kings,0.876717725572
Golden State Warriors,Toronto Raptors,0.666904976987
Houston Rockets,Portland Trail Blazers,0.508238931726
Miami Heat,Milwaukee Bucks,0.782564028148
Minnesota Timberwolves,Philadelphia 76ers,0.784373646399
Utah Jazz,Chicago Bulls,0.621016327795
Washington Wizards,New York Knicks,0.710948002641
Golden State Warriors,Boston Celtics,0.757157576401
Charlotte Hornets,Atlanta Hawks,0.53249515758
Cleveland Cavaliers,Detroit Pistons,0.812409635088
Dallas Mavericks,Memphis Grizzlies,0.635711978377
Toronto Raptors,Denver Nuggets,0.800464949697
Indiana Pacers,Phoenix Suns,0.82734057694
San Antonio Spurs,Los Angeles Lakers,0.950755584674
Portland Trail Blazers,New Orleans Pelicans,0.696725326133
Oklahoma City Thunder,Brooklyn Nets,0.938396531356
Los Angeles Clippers,Sacramento Kings,0.744510690301
Boston Celtics,Detroit Pistons,0.553819768974
Houston Rockets,Utah Jazz,0.55360918732
Los Angeles Clippers,Chicago Bulls,0.75179216363
Memphis Grizzlies,Minnesota Timberwolves,0.561251762073
Golden State Warriors,Milwaukee Bucks,0.92325595175
Charlotte Hornets,New Orleans Pelicans,0.756427273856
Dallas Mavericks,Orlando Magic,0.553412265263
Phoenix Suns,Philadelphia 76ers,0.694297358433
Miami Heat,Washington Wizards,0.56742998069
Portland Trail Blazers,Brooklyn Nets,0.825511007127
Utah Jazz,Denver Nuggets,0.635377816021
Chicago Bulls,Los Angeles Lakers,0.771791074656
Atlanta Hawks,New York Knicks,0.724578726392
Oklahoma City Thunder,Indiana Pacers,0.74479786176
Toronto Raptors,Sacramento Kings,0.776066062721
Charlotte Hornets,Memphis Grizzlies,0.724594702146
Detroit Pistons,Houston Rockets,0.537136368899
Golden State Warriors,Indiana Pacers,0.800464323562
Los Angeles Clippers,Toronto Raptors,0.521238866484
Orlando Magic,Milwaukee Bucks,0.568618236899
Boston Celtics,Minnesota Timberwolves,0.751679432875
Miami Heat,Philadelphia 76ers,0.915107687018
San Antonio Spurs,Dallas Mavericks,0.86992038725
Washington Wizards,Phoenix Suns,0.783468967753
Atlanta Hawks,New Orleans Pelicans,0.798102344843
Chicago Bulls,Denver Nuggets,0.590495951488
Oklahoma City Thunder,Los Angeles Lakers,0.931318368423
Portland Trail Blazers,New York Knicks,0.654780040598
Boston Celtics,Brooklyn Nets,0.862305515089
San Antonio Spurs,Charlotte Hornets,0.71361898579
Cleveland Cavaliers,Portland Trail Blazers,0.80287490366
Los Angeles Clippers,Dallas Mavericks,0.606215593891
Miami Heat,Detroit Pistons,0.542110841166
Golden State Warriors,Los Angeles Lakers,0.975448043547
Toronto Raptors,Houston Rockets,0.649895650718
Atlanta Hawks,Indiana Pacers,0.521109432163
Minnesota Timberwolves,New Orleans Pelicans,0.541910965521
Orlando Magic,Phoenix Suns,0.707174354624
Memphis Grizzlies,Philadelphia 76ers,0.836780559358
Oklahoma City Thunder,Sacramento Kings,0.833184510929
Utah Jazz,Denver Nuggets,0.685195426159
San Antonio Spurs,Boston Celtics,0.705917450947
Cleveland Cavaliers,Dallas Mavericks,0.83649890477
Oklahoma City Thunder,Denver Nuggets,0.852542497721
Los Angeles Clippers,Detroit Pistons,0.602018903487
Indiana Pacers,Brooklyn Nets,0.852237390291
Golden State Warriors,Los Angeles Lakers,0.961653165755
Miami Heat,Memphis Grizzlies,0.65715213022
Toronto Raptors,Milwaukee Bucks,0.818629242958
Charlotte Hornets,New York Knicks,0.719413868715
Washington Wizards,Orlando Magic,0.568587739486
Chicago Bulls,Philadelphia 76ers,0.854812020785
Minnesota Timberwolves,Phoenix Suns,0.64027695658
Portland Trail Blazers,New Orleans Pelicans,0.850156026392
Houston Rockets,Sacramento Kings,0.624066055935
Atlanta Hawks,Utah Jazz,0.55105996956
Charlotte Hornets,New York Knicks,0.801475613475
Golden State Warriors,Minnesota Timberwolves,0.931762416075
Miami Heat,Memphis Grizzlies,0.733202256841
Oklahoma City Thunder,Detroit Pistons,0.781642353848
San Antonio Spurs,Washington Wizards,0.803541235276
Sacramento Kings,Brooklyn Nets,0.710268083979
Dallas Mavericks,New Orleans Pelicans,0.723041996975
Los Angeles Clippers,Indiana Pacers,0.558608417482
Atlanta Hawks,Los Angeles Lakers,0.871833795742
Orlando Magic,Milwaukee Bucks,0.583525186691
Cleveland Cavaliers,Philadelphia 76ers,0.961675529826
Denver Nuggets,Phoenix Suns,0.642158553272
Portland Trail Blazers,Houston Rockets,0.712487419388
Golden State Warriors,Atlanta Hawks,0.835235587309
Charlotte Hornets,Memphis Grizzlies,0.672366693527
Miami Heat,Boston Celtics,0.554894296939
Utah Jazz,Minnesota Timberwolves,0.655849577097
Oklahoma City Thunder,New York Knicks,0.839853314054
Toronto Raptors,Philadelphia 76ers,0.955047672164
Washington Wizards,Sacramento Kings,0.650045615934
Los Angeles Clippers,Brooklyn Nets,0.884151004456
Charlotte Hornets,Detroit Pistons,0.626848114456
Cleveland Cavaliers,Milwaukee Bucks,0.873651473883
New Orleans Pelicans,Los Angeles Lakers,0.710946385748
San Antonio Spurs,Orlando Magic,0.904783528518
Utah Jazz,Houston Rockets,0.551497041424
Boston Celtics,Detroit Pistons,0.635551292767
Chicago Bulls,Los Angeles Lakers,0.850467834705
San Antonio Spurs,Dallas Mavericks,0.789779018924
Miami Heat,Denver Nuggets,0.725283292939
Minnesota Timberwolves,New York Knicks,0.527733859004
Oklahoma City Thunder,Washington Wizards,0.799039236881
Atlanta Hawks,Phoenix Suns,0.827420011439
Portland Trail Blazers,Indiana Pacers,0.663776345484
Toronto Raptors,Memphis Grizzlies,0.809643553061
Milwaukee Bucks,Brooklyn Nets,0.684464764883
Charlotte Hornets,Dallas Mavericks,0.664938451624
Cleveland Cavaliers,Los Angeles Clippers,0.716295793104
Golden State Warriors,Houston Rockets,0.884410141655
Memphis Grizzlies,Orlando Magic,0.540377511332
Miami Heat,Utah Jazz,0.52770700645
Atlanta Hawks,Detroit Pistons,0.627854925434
Boston Celtics,Sacramento Kings,0.759908488628
Cleveland Cavaliers,Chicago Bulls,0.744891716736
Houston Rockets,Denver Nuggets,0.657721992788
Los Angeles Clippers,New Orleans Pelicans,0.787505072607
New York Knicks,Minnesota Timberwolves,0.505898877197
Orlando Magic,Philadelphia 76ers,0.827093528782
San Antonio Spurs,Washington Wizards,0.862786706198
Toronto Raptors,Los Angeles Lakers,0.935196640675
Charlotte Hornets,Minnesota Timberwolves,0.754183297096
Dallas Mavericks,Chicago Bulls,0.603103863915
Golden State Warriors,Phoenix Suns,0.963546404567
Memphis Grizzlies,Los Angeles Lakers,0.788226271142
Milwaukee Bucks,Brooklyn Nets,0.657917220975
Boston Celtics,Philadelphia 76ers,0.91870878176
Portland Trail Blazers,Miami Heat,0.643326773402
Toronto Raptors,Atlanta Hawks,0.648052842107
Utah Jazz,Denver Nuggets,0.685195426159
Detroit Pistons,Orlando Magic,0.655577606709
Los Angeles Clippers,Indiana Pacers,0.644219022765
New York Knicks,Sacramento Kings,0.504334125362
Oklahoma City Thunder,New Orleans Pelicans,0.893472610986
Oklahoma City Thunder,Atlanta Hawks,0.635382367508
Washington Wizards,Brooklyn Nets,0.80022799225
Chicago Bulls,Portland Trail Blazers,0.501634467489
Charlotte Hornets,Dallas Mavericks,0.563325919268
Golden State Warriors,Indiana Pacers,0.859064993545
Boston Celtics,Houston Rockets,0.561554332677
Utah Jazz,Los Angeles Lakers,0.803417837265
San Antonio Spurs,Milwaukee Bucks,0.90255221446
Memphis Grizzlies,New Orleans Pelicans,0.579743079694
Denver Nuggets,Philadelphia 76ers,0.815922795948
Cleveland Cavaliers,Toronto Raptors,0.535049038098
Detroit Pistons,Chicago Bulls,0.607296576457
Memphis Grizzlies,Philadelphia 76ers,0.845668707588
Miami Heat,New York Knicks,0.808315969865
San Antonio Spurs,Minnesota Timberwolves,0.900026515319
Utah Jazz,Phoenix Suns,0.809448253944
Washington Wizards,Orlando Magic,0.632072474832
Atlanta Hawks,Miami Heat,0.556873637297
Denver Nuggets,Brooklyn Nets,0.71066286235
Charlotte Hornets,Detroit Pistons,0.626848114456
Dallas Mavericks,Sacramento Kings,0.669123123347
Houston Rockets,Los Angeles Lakers,0.853796811868
Golden State Warriors,Los Angeles Clippers,0.709990122883
Portland Trail Blazers,Milwaukee Bucks,0.701729811401
Cleveland Cavaliers,New York Knicks,0.847897645083
Boston Celtics,Orlando Magic,0.673254941108
Indiana Pacers,Phoenix Suns,0.799488899515
San Antonio Spurs,Chicago Bulls,0.796380373744
Portland Trail Blazers,Memphis Grizzlies,0.602877773366
New Orleans Pelicans,Philadelphia 76ers,0.783595596209
Toronto Raptors,Minnesota Timberwolves,0.832210666409
Golden State Warriors,Utah Jazz,0.819011597275
Washington Wizards,Denver Nuggets,0.649608908806
Toronto Raptors,Boston Celtics,0.539123838873
Charlotte Hornets,Orlando Magic,0.738206580005
Cleveland Cavaliers,Miami Heat,0.763362219055
Indiana Pacers,Dallas Mavericks,0.523995353985
Phoenix Suns,Los Angeles Lakers,0.566083022471
Atlanta Hawks,Milwaukee Bucks,0.765436460719
Detroit Pistons,Minnesota Timberwolves,0.682606114148
Oklahoma City Thunder,Houston Rockets,0.785562866263
Sacramento Kings,New York Knicks,0.585855980776
Miami Heat,Chicago Bulls,0.55641388516
Cleveland Cavaliers,Charlotte Hornets,0.750807181135
Houston Rockets,Dallas Mavericks,0.564883044504
Indiana Pacers,Portland Trail Blazers,0.560374739149
Los Angeles Clippers,New Orleans Pelicans,0.83880724972
Golden State Warriors,Memphis Grizzlies,0.885882159582
Orlando Magic,Denver Nuggets,0.553055237622
San Antonio Spurs,Brooklyn Nets,0.960143029495
Utah Jazz,Sacramento Kings,0.685609245792
Washington Wizards,Milwaukee Bucks,0.677336743803
Detroit Pistons,Philadelphia 76ers,0.898695326252
New York Knicks,Los Angeles Lakers,0.657436786201
Golden State Warriors,Minnesota Timberwolves,0.921220023767
Oklahoma City Thunder,Boston Celtics,0.717774288793
New Orleans Pelicans,Phoenix Suns,0.581137919414
Dallas Mavericks,Denver Nuggets,0.668698089642
Houston Rockets,Brooklyn Nets,0.823832759684
Charlotte Hornets,Indiana Pacers,0.514684633011
Los Angeles Clippers,Portland Trail Blazers,0.676240076158
Miami Heat,Washington Wizards,0.660902401416
Sacramento Kings,Los Angeles Lakers,0.757751215148
Toronto Raptors,Milwaukee Bucks,0.847798323641
Atlanta Hawks,Orlando Magic,0.739038015386
Chicago Bulls,Minnesota Timberwolves,0.661559602472
Cleveland Cavaliers,Memphis Grizzlies,0.871511978239
Golden State Warriors,New Orleans Pelicans,0.921552801757
New York Knicks,Phoenix Suns,0.574949226669
Oklahoma City Thunder,Portland Trail Blazers,0.548355482388
Brooklyn Nets,Los Angeles Lakers,0.544282730005
Dallas Mavericks,Detroit Pistons,0.527011392319
Houston Rockets,Sacramento Kings,0.666058845914
Cleveland Cavaliers,Memphis Grizzlies,0.816911186718
Miami Heat,Indiana Pacers,0.588574308515
Los Angeles Clippers,Orlando Magic,0.715187127273
Toronto Raptors,Philadelphia 76ers,0.942461409908
San Antonio Spurs,Boston Celtics,0.800876025862
Oklahoma City Thunder,Utah Jazz,0.709880307293
Charlotte Hornets,Washington Wizards,0.58410629796
Portland Trail Blazers,Denver Nuggets,0.676484730534
Golden State Warriors,New York Knicks,0.947278793714
Chicago Bulls,Milwaukee Bucks,0.618668644367
Indiana Pacers,New Orleans Pelicans,0.726030408144
San Antonio Spurs,Phoenix Suns,0.93154333228
Boston Celtics,Charlotte Hornets,0.548171339863
Chicago Bulls,Milwaukee Bucks,0.687038901113
Houston Rockets,New Orleans Pelicans,0.720268310992
Memphis Grizzlies,Sacramento Kings,0.559709743779
Miami Heat,Los Angeles Clippers,0.505674217378
Orlando Magic,Brooklyn Nets,0.744037896422
Los Angeles Lakers,Philadelphia 76ers,0.601750130164
Toronto Raptors,Atlanta Hawks,0.648052842107
Utah Jazz,Dallas Mavericks,0.586681067999
Washington Wizards,Detroit Pistons,0.505791949646
Atlanta Hawks,Charlotte Hornets,0.5399653731
Cleveland Cavaliers,Los Angeles Lakers,0.958357418457
Denver Nuggets,New York Knicks,0.549968626843
Indiana Pacers,Detroit Pistons,0.519616780441
Golden State Warriors,Portland Trail Blazers,0.875486782239
Houston Rockets,Minnesota Timberwolves,0.677575844946
Oklahoma City Thunder,Phoenix Suns,0.926769422235
Dallas Mavericks,Sacramento Kings,0.669123123347
Utah Jazz,Memphis Grizzlies,0.558521775533
Miami Heat,Boston Celtics,0.554894296939
Toronto Raptors,Orlando Magic,0.749143927761
Brooklyn Nets,Philadelphia 76ers,0.653605301498
